mH (GeV) 	H->e+e-e+e- 	H->e+e+mu+mu- 	H->l+l-l+l- 	H->l+l-l+l- 	H->e+ nue e- nue 	H->e+nue mu-numu  H -> l+ l- nul nul 	H->l+ l- nul nul
                               	  	  	  l=e,mu 	l=e,mu,tau 	                                           l=e or mu, vu=any    l=e,mu  or tau, nu=any
90 	7.08E-07 	9.39E-07 	2.35E-06 	4.94E-06 	1.77E-05 	2.45E-05 	9.20E-05 	2.12E-04
95 	1.11E-06 	1.49E-06 	3.71E-06 	7.80E-06 	4.46E-05 	5.54E-05 	2.12E-04 	4.85E-04
100 	1.80E-06 	2.51E-06 	6.12E-06 	1.30E-05 	1.14E-04 	1.30E-04 	5.08E-04 	1.15E-03
105 	3.21E-06 	4.78E-06 	1.12E-05 	2.40E-05 	2.62E-04 	2.85E-04 	1.13E-03 	2.56E-03
110 	6.10E-06 	9.78E-06 	2.20E-05 	4.77E-05 	5.37E-04 	5.66E-04 	2.28E-03 	5.13E-03
115 	1.15E-05 	1.95E-05 	4.25E-05 	9.31E-05 	9.88E-04 	1.02E-03 	4.17E-03 	9.31E-03
120 	2.03E-05 	3.60E-05 	7.66E-05 	1.69E-04 	1.65E-03 	1.68E-03 	6.95E-03 	1.55E-02
125 	3.30E-05 	5.98E-05 	1.26E-04 	2.79E-04 	2.54E-03 	2.55E-03 	1.07E-02 	2.36E-02
130 	4.89E-05 	9.03E-05 	1.88E-04 	4.18E-04 	3.62E-03 	3.59E-03 	1.52E-02 	3.35E-02
135 	6.63E-05 	1.24E-04 	2.57E-04 	5.71E-04 	4.83E-03 	4.75E-03 	2.01E-02 	4.44E-02
140 	8.25E-05 	1.56E-04 	3.21E-04 	7.15E-04 	6.07E-03 	5.94E-03 	2.52E-02 	5.57E-02
145 	9.43E-05 	1.79E-04 	3.68E-04 	8.21E-04 	7.28E-03 	7.11E-03 	3.02E-02 	6.66E-02
150 	9.76E-05 	1.87E-04 	3.82E-04 	8.53E-04 	8.44E-03 	8.23E-03 	3.48E-02 	7.70E-02
